Year,Product,Overflow,Memory Corruption,Sql Injection,XSS,Directory Traversal,File Inclusion,CSRF,XXE,SSRF,Open Redirect,Input Validation
2016,Generative models,1214,1172,97,497,99,12.0,88,41,16,33,535
2017,ACKTR & A2C,2494,1555,505,1500,283,155.0,334,109,57,97,975
2018,Glow,2100,1748,504,2043,573,112.0,479,189,118,85,1285
2019,GPT-2 update,1213,2057,554,2389,491,127.0,560,139,103,122,927
2020,Image GPT,1222,1904,466,2199,441,110.0,416,119,132,101,831
2021,DALL-E,1675,2564,744,2726,557,93.0,520,126,197,133,702
2022,ChatGPT,1881,3420,1790,3407,731,102.0,769,127,234,149,826
2023,GPT-4,1521,2400,1822,4276,678,111.0,1049,125,185,138,666
